ID сессии,Дата,Имя,Компания,Должность,Email,ID вопроса,Ответы
"aoji61645oo","2026-03-20T18:19:52.164Z","John","никта","укпуп","test@gmail.com","1","Руководитель / владелец туроператора"
"aoji61645oo","2026-03-20T18:19:52.164Z","John","никта","укпуп","test@gmail.com","2","Все направления одновременно"
"aoji61645oo","2026-03-20T18:19:52.164Z","John","никта","укпуп","test@gmail.com","3","Работаю на нескольких регионах / федеральный уровень"
"aoji61645oo","2026-03-20T18:19:52.164Z","John","никта","укпуп","test@gmail.com","4","Россия пока не воспринимается как альтернативное направление"
"aoji61645oo","2026-03-20T18:19:52.164Z","John","никта","укпуп","test@gmail.com","5","Китай, Индия, страны Юго-Восточной Азии; Страны Африки и Латинской Америки"
"aoji61645oo","2026-03-20T18:19:52.164Z","John","никта","укпуп","test@gmail.com","6","Иностранцы пока не запрашивают конкретные направления; Сибирь, Байкал, Дальний Восток"
"aoji61645oo","2026-03-20T18:19:52.164Z","John","никта","укпуп","test@gmail.com","7","Негативный медиаобраз России за рубежом"
"aoji61645oo","2026-03-20T18:19:52.164Z","John","никта","укпуп","test@gmail.com","8","35–50 лет (семьи с детьми, средний класс); 50+ лет (зрелые путешественники, пенсионеры)"
"aoji61645oo","2026-03-20T18:19:52.164Z","John","никта","укпуп","test@gmail.com","9","Корпоративные и деловые поездки (MICE); Групповые туры для узких аудиторий (молодёжь, seniors, тематические)"
"aoji61645oo","2026-03-20T18:19:52.164Z","John","никта","укпуп","test@gmail.com","10","Велнес и оздоровительные курорты"
"aoji61645oo","2026-03-20T18:19:52.164Z","John","никта","укпуп","test@gmail.com","11","Снизился — туристы стали экономить"
"aoji61645oo","2026-03-20T18:19:52.164Z","John","никта","укпуп","test@gmail.com","12","Дальний Восток и Арктические маршруты"
"aoji61645oo","2026-03-20T18:19:52.164Z","John","никта","укпуп","test@gmail.com","13","Затрудняюсь оценить"
"aoji61645oo","2026-03-20T18:19:52.164Z","John","никта","укпуп","test@gmail.com","14","Европейские направления (через третьи страны)"
"aoji61645oo","2026-03-20T18:19:52.164Z","John","никта","укпуп","test@gmail.com","15","Аудитория сократилась, но оставшиеся тратят значительно больше"
"aoji61645oo","2026-03-20T18:19:52.164Z","John","никта","укпуп","test@gmail.com","16","Цифровые инструменты пока слабо влияют на мою работу"
"aoji61645oo","2026-03-20T18:19:52.164Z","John","никта","укпуп","test@gmail.com","17","Комбинируют несколько каналов одновременно"
"aoji61645oo","2026-03-20T18:19:52.164Z","John","никта","укпуп","test@gmail.com","18","😰 Критический — отрасль находится в кризисе"
"aoji61645oo","2026-03-20T18:19:52.164Z","John","никта","укпуп","test@gmail.com","19","Недостаточная государственная поддержка и субсидирование"
"yi7ybbfea9","2026-03-20T14:27:00.016Z","John","aisiафц","менеджер","test@gmail.com","1","Руководитель / владелец туроператора; Руководитель / владелец турагентства"
"yi7ybbfea9","2026-03-20T14:27:00.016Z","John","aisiафц","менеджер","test@gmail.com","2","Только выездной туризм"
"yi7ybbfea9","2026-03-20T14:27:00.016Z","John","aisiафц","менеджер","test@gmail.com","3","Краснодарский край / Черноморское побережье"
"yi7ybbfea9","2026-03-20T14:27:00.016Z","John","aisiафц","менеджер","test@gmail.com","4","Интерес есть, но до реального потока туристов далеко"
"yi7ybbfea9","2026-03-20T14:27:00.016Z","John","aisiафц","менеджер","test@gmail.com","5","Страны Африки и Латинской Америки"
"yi7ybbfea9","2026-03-20T14:27:00.016Z","John","aisiафц","менеджер","test@gmail.com","6","Другое; Свой ответ: фпрффпврф"
"yi7ybbfea9","2026-03-20T14:27:00.016Z","John","aisiафц","менеджер","test@gmail.com","7","Слабая инфраструктура и языковой барьер для иностранцев"
"yi7ybbfea9","2026-03-20T14:27:00.016Z","John","aisiафц","менеджер","test@gmail.com","8","50+ лет (зрелые путешественники, пенсионеры)"
"yi7ybbfea9","2026-03-20T14:27:00.016Z","John","aisiафц","менеджер","test@gmail.com","9","Комбинированные поездки (частично самостоятельно, частично через агента)"
"yi7ybbfea9","2026-03-20T14:27:00.016Z","John","aisiафц","менеджер","test@gmail.com","10","Активный туризм (треккинг, горы, сплавы)"
"yi7ybbfea9","2026-03-20T14:27:00.016Z","John","aisiафц","менеджер","test@gmail.com","11","Вырос незначительно — в пределах 10–20%"
"yi7ybbfea9","2026-03-20T14:27:00.016Z","John","aisiафц","менеджер","test@gmail.com","12","Санкт-Петербург и Ленинградская область"
"yi7ybbfea9","2026-03-20T14:27:00.016Z","John","aisiафц","менеджер","test@gmail.com","13","Снижение — больше переориентации на внутренний туризм"
"yi7ybbfea9","2026-03-20T14:27:00.016Z","John","aisiафц","менеджер","test@gmail.com","14","Таиланд, Вьетнам, Индонезия, Индия"
"yi7ybbfea9","2026-03-20T14:27:00.016Z","John","aisiафц","менеджер","test@gmail.com","15","Больше самостоятельных поездок, меньше организованных туров"
"yi7ybbfea9","2026-03-20T14:27:00.016Z","John","aisiафц","менеджер","test@gmail.com","16","Цифровые инструменты пока слабо влияют на мою работу"
"yi7ybbfea9","2026-03-20T14:27:00.016Z","John","aisiафц","менеджер","test@gmail.com","17","Через социальные сети и Telegram-каналы"
"yi7ybbfea9","2026-03-20T14:27:00.016Z","John","aisiафц","менеджер","test@gmail.com","18","😐 Нейтральный — ситуация стабильная, без резких изменений"
"yi7ybbfea9","2026-03-20T14:27:00.016Z","John","aisiафц","менеджер","test@gmail.com","19","Недостаточное качество сервиса и инфраструктуры"
"3qtvr5wkscq","2026-03-20T14:17:12.865Z","ке","еппек","директор","test@gmail.com","1","Руководитель / владелец туроператора; Руководитель / владелец турагентства; Эксперт, аналитик или консультант рынка"
"3qtvr5wkscq","2026-03-20T14:17:12.865Z","ке","еппек","директор","test@gmail.com","2","Только въездной туризм (иностранцы в Россию); Только выездной туризм; Только внутренний туризм"
"3qtvr5wkscq","2026-03-20T14:17:12.865Z","ке","еппек","директор","test@gmail.com","3","Работаю на нескольких регионах / федеральный уровень; Другой российский регион; Краснодарский край / Черноморское побережье; Санкт-Петербург и Северо-Запад"
"3qtvr5wkscq","2026-03-20T14:17:12.865Z","ке","еппек","директор","test@gmail.com","4","Да — заметный рост запросов и реальных бронирований; Интерес есть, но до реального потока туристов далеко; Скорее нет — ситуация на Ближнем Востоке не влияет на Россию; Россия пока не воспринимается как альтернативное направление"
"3qtvr5wkscq","2026-03-20T14:17:12.865Z","ке","еппек","директор","test@gmail.com","5","Китай, Индия, страны Юго-Восточной Азии; Страны СНГ (Казахстан, Узбекистан, Беларусь, Армения и др.); Страны Ближнего Востока (ОАЭ, Саудовская Аравия, Иран, Египет); Интереса со стороны иностранных туристов практически нет; Страны Африки и Латинской Америки"
"3qtvr5wkscq","2026-03-20T14:17:12.865Z","ке","еппек","директор","test@gmail.com","6","Иностранцы пока не запрашивают конкретные направления; Казань, Екатеринбург, Золотое кольцо; Сибирь, Байкал, Дальний Восток"
"3qtvr5wkscq","2026-03-20T14:17:12.865Z","ке","еппек","директор","test@gmail.com","7","Отсутствие прямых рейсов из ключевых стран; Сложности с международными платежами и картами; Слабая инфраструктура и языковой барьер для иностранцев"
"3qtvr5wkscq","2026-03-20T14:17:12.865Z","ке","еппек","директор","test@gmail.com","8","50+ лет (зрелые путешественники, пенсионеры); 35–50 лет (семьи с детьми, средний класс); 25–35 лет (молодые профессионалы и пары); 18–25 лет (молодёжь, студенты)"
"3qtvr5wkscq","2026-03-20T14:17:12.865Z","ке","еппек","директор","test@gmail.com","9","Групповые туры для узких аудиторий (молодёжь, seniors, тематические); Корпоративные и деловые поездки (MICE); Комбинированные поездки (частично самостоятельно, частично через агента); Организованные туры и пакетные предложения; Самостоятельные поездки без турагентства"
"3qtvr5wkscq","2026-03-20T14:17:12.865Z","ке","еппек","директор","test@gmail.com","10","Экотуризм, глэмпинг и природный отдых; Активный туризм (треккинг, горы, сплавы); Велнес и оздоровительные курорты"
"3qtvr5wkscq","2026-03-20T14:17:12.865Z","ке","еппек","директор","test@gmail.com","11","Снизился — туристы стали экономить; Остался примерно на прежнем уровне"
"3qtvr5wkscq","2026-03-20T14:17:12.865Z","ке","еппек","директор","test@gmail.com","12","Татарстан, Поволжье, Урал; Алтай, Байкал, Сибирь"
"3qtvr5wkscq","2026-03-20T14:17:12.865Z","ке","еппек","директор","test@gmail.com","13","Стагнация — уровень примерно как в 2025 году"
"3qtvr5wkscq","2026-03-20T14:17:12.865Z","ке","еппек","директор","test@gmail.com","14","Страны СНГ (Казахстан, Узбекистан, Беларусь, Армения)"
"3qtvr5wkscq","2026-03-20T14:17:12.865Z","ке","еппек","директор","test@gmail.com","15","Переориентация на «дружественные» страны и СНГ"
"3qtvr5wkscq","2026-03-20T14:17:12.865Z","ке","еппек","директор","test@gmail.com","16","Онлайн-агрегаторы и системы бронирования"
